status	category	repo	size	note
OK	framework	harbor-framework/harbor	88M	present@b37833221e27
OK	eval	harveyai/harvey-labs	5.0G	present@7be41d57fd5a
OK	eval	HazyResearch/legalbench	19M	
OK	eval	TheAtticusProject/cuad	36M	
OK	eval	TheAtticusProject/maud	65M	
OK	eval	TheAtticusProject/acord	6.1M	
OK	eval	RegNLP/ObliQADataset	67M	
OK	eval	minnesotanlp/LawFlow	1.4M	
OK	eval	olivialiu121/ContractEval	636K	
OK	eval	Exploration-Lab/CJPE	17M	
OK	eval	thunlp/jec-qa	432K	
OK	eval	lbox-kr/lbox-open	544K	
OK	eval	SgfdDttt/sara-ie	376K	
OK	eval	hoorangyee/LRAGE	43M	
OK	automation	CSlawyer1985/claude-for-legal-ZH	57M	present
OK	automation	lawve-ai/awesome-legal-skills	82M	
OK	automation	armanaydemir/openprobono	668K	
OK	automation	SuffolkLITLab/ALKiln	11M	
OK	automation	jhpyle/docassemble	118M	
OK	mcp	agentic-ops/legal-mcp	808K	present
OK	mcp	grafana/mcp-grafana	7.1M	
OK	mcp	modelcontextprotocol/servers	2.2M	
OK	service	freelawproject/courtlistener	80M	
OK	service	freelawproject/juriscraper	350M	
OK	service	freelawproject/eyecite	1.1M	
OK	service	LexPredict/lexpredict-lexnlp	57M	
OK	service	eugene-yang/tarexp	1.9M	
OK	service	shmsoft/FreeEed	567M	
OK	survey	maastrichtlawtech/awesome-legal-nlp	172K	
OK	eval	open-compass/LawBench	2.6G	
OK	eval	coastalcph/lex-glue	412K	
OK	eval	prinz-ai/prinzbench	3.3M	
OK	automation	zubair-trabzada/ai-legal-claude	604K	
OK	automation	evolsb/claude-legal-skill	1.0M	
OK	automation	pa1nrui1/legal-skills	6.9M	
OK	automation	NEU-ZHA/legal-ai-skills	1.6M	
OK	automation	betobetico/claude-para-abogados	2.5M	
OK	automation	zeweihan/aiworkdeck	660M	
OK	automation	tomasonjo-labs/legal-tech-chat	2.8M	
OK	mcp	saidsurucu/yargi-mcp	3.0M	
OK	mcp	lawchat-oss/mcp-taiwan-legal-db	24M	
OK	mcp	ayunis-core/ayunis-legal-mcp	848K	
OK	mcp	Mahender22/legal-mcp	408K	
OK	mcp	jonashertner/opencaselaw	34M	
OK	mcp	yoda-digital/mcp-cerebra-legal-server	332K	
OK	service	FreeDiscovery/FreeDiscovery	4.8M	
OK	service	ilhamfp/pasal	3.7M	
